,message,personal
0,Bugis oso near wat...,personal
1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",personal
2,I dunno until when... Lets go learn pilates...,personal
3,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",personal
4,Meet after lunch la...,personal
5,m walking in citylink now ü faster come down... Me very hungry...,personal
6,5 nights...We nt staying at port step liao...Too ex,personal
7,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,personal
8,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",personal
9,Hey tmr maybe can meet you at yck,personal
10,Oh...i asked for fun. Haha...take care. ü,personal
11,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,personal
12,t finish my film yet...,personal
13,m having dinner with my cousin...,personal
14,Oh... Kay... On sat right?,personal
15,I need... Coz i never go before,personal
16,s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,personal
17,I am going to sao mu today. Will be done only at 12,personal
18,Hey gals...U all wanna meet 4 dinner at nìte?,personal
19,Jos ask if u wana meet up?,personal
20,Haiyoh... Maybe your hamster was jealous of million,personal
21,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,personal
22,ve booked the pilates and yoga lesson already... Haha,personal
23,Yup... I havent been there before... You want to go for the yoga? I can call up to book,personal
24,K... Must book a not huh? so going for yoga basic on sunday?,personal
25,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,personal
26,Sat right? Okay thanks...,personal
27,Yup... From what i remb... I think should be can book...,personal
28,m going to get specs. My membership is PX3748,personal
29,We can go 4 e normal pilates after our intro...,personal
30,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,personal
31,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",personal
32,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",personal
33,Wah... Okie okie... Muz make use of e unlimited... Haha...,personal
34,ll go yan jiu den msg u...,personal
35,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",personal
36,"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",personal
37,Nope... Juz off from work...,personal
38,Oh oh... Wasted... Den muz chiong on sat n sun liao...,personal
39,"Haha... Sounds crazy, dunno can tahan anot...",personal
40,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",personal
41,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",personal
42,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",personal
43,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",personal
44,"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",personal
45,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,personal
46,s nt much lesson to go if we attend kb on sat...,personal
47,Den wat will e schedule b lk on sun?,personal
48,Eh den sat u book e kb liao huh...,personal
49,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,personal
50,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,personal
51,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,personal
52,Hey... are you going to quit soon? Xuhui and i working till end of the month,personal
53,s a kb lesson tonight,personal
54,Hey so whats the plan this sat?,personal
55,ve woken up...,personal
56,Hey i will be late ah... Meet you at 945+,personal
57,Hey tmr meet at bugis 930 ?,personal
58,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel,personal
59,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,personal
60,ve booked the 2 lessons on sun liao...,personal
61,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",personal
62,Oh... Okie lor...We go on sat...,personal
63,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",personal
64,"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",personal
65,"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",personal
66,"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",personal
67,m eatin too much n puttin on weight...Haha... So anythin special happened?,personal
68,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,personal
69,"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",personal
70,Goin to workout lor... Muz lose e fats...,personal
71,ve oredi booked slots 4 my weekends liao...,personal
72,"I noe la... U wana pei bf oso rite... K lor, other days den...",personal
73,U meet other fren dun wan meet me ah... Muz b a guy rite...,personal
74,"Oh... Icic... K lor, den meet other day...",personal
75,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",personal
76,U attend ur driving lesson how many times a wk n which day?,personal
77,Ay wana meet on sat?ü wkg on sat?,personal
78,Shopping? Eh ger i toking abt syd leh...Haha,personal
79,s é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),personal
80,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,personal
