,text,target
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,ham
1,ok lar joking wif u oni,ham
2,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply,spam
3,u dun say early hor u c already say,ham
4,nah think goes usf lives around though,ham
5,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv,spam
6,even brother like speak treat like aids patent,ham
7,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,ham
8,winner valued network customer selected receivea prize reward claim call claim code kl valid hours,spam
9,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,spam
10,gon na home soon want talk stuff anymore tonight k cried enough today,ham
11,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info,spam
12,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,spam
13,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,ham
14,date sunday,ham
15,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,spam
16,oh k watching,ham
17,eh u remember spell name yes v naughty make v wet,ham
18,fine way u feel way gota b,ham
19,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq,spam
20,seriously spell name,ham
21,going try months ha ha joking,ham
22,pay first lar da stock comin,ham
23,aft finish lunch go str lor ard smth lor u finish ur lunch already,ham
24,ffffffffff alright way meet sooner,ham
25,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,ham
26,lol always convincing,ham
27,catch bus frying egg make tea eating mom left dinner feel love,ham
28,back amp packing car let know room,ham
29,ahhh work vaguely remember feel like lol,ham
30,wait still clear sure sarcastic x want live us,ham
31,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers,ham
32,k tell anything,ham
33,fear fainting housework quick cuppa,ham
34,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,spam
35,yup ok go home look timings msg xuhui going learn nd may lesson,ham
36,oops let know roommate done,ham
37,see letter b car,ham
38,anything lor u decide,ham
39,hello saturday go texting see decided anything tomo trying invite anything,ham
40,pls go ahead watts wanted sure great weekend abiola,ham
41,forget tell want need crave love sweet arabian steed mmmmmm yummy,ham
42,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,spam
43,seeing,ham
44,great hope like man well endowed lt gt inches,ham
45,calls messages missed calls,ham
